segment_name,start,end,start_lat,start_lon,end_lat,end_lon,d
A_B,A,B,43.61659773,-79.53203559,43.62449566,-79.49361563,3216
B_C,B,C,43.62451799,-79.49350834,43.63453697,-79.42254849,5900
C_D,C,D,43.63453572,-79.42255218,43.63866056,-79.39201891,2528
D_E,D,E,43.63868482,-79.39200819,43.64840401,-79.35922086,2879
E_F,E,F,43.64840401,-79.35922086,43.66192221,-79.35500443,2346
F_G,F,G,43.66250093,-79.35493469,43.68245617,-79.36227322,2400
G_H,G,H,43.68274616,-79.3620801,43.70274993,-79.33266163,3600
H_I,H,I,43.70300152,-79.33245242,43.72714949,-79.33036566,3000
I_J,I,J,43.72719552,-79.33039784,43.73977405,-79.33206081,1400
J_K,J,K,43.73977405,-79.33206081,43.75816541,-79.3355906,2100
K_J,K,J,43.75813442,-79.33587492,43.73973941,-79.33227271,2100
J_I,J,I,43.73975855,-79.33227539,43.72714173,-79.33061242,1400
I_H,I,H,43.72718777,-79.33062315,43.70304418,-79.33266163,3000
H_G,H,G,43.702843,-79.33287621,43.68276216,-79.36225712,3600
G_F,G,F,43.68281502,-79.36225176,43.66212644,-79.3552351,2400
F_E,F,E,43.66212644,-79.3552351,43.64853598,-79.35932279,2327
E_D,E,D,43.64853598,-79.35932279,43.6387587,-79.39206317,2877
D_C,D,C,43.6387587,-79.39206317,43.63464543,-79.42261487,2531
C_B,C,B,43.63464568,-79.42261487,43.62470244,-79.49363708,5900
B_A,B,A,43.62476651,-79.49363708,43.61696862,-79.53138113,3200
